,CIK,Company Name,Form Type,Date Filed,File Name,File split,Landing page
10,1001258,ASTA FUNDING INC,10-K,20181012,edgar/data/1001258/0001437749-18-018233.txt,edgar/data/1001258/0001437749-18-018233,https://www.sec.gov/Archives/edgar/data/1001258/0001437749-18-018233-index.htm
453,1301991,"SmartMetric, Inc.",10-K,20181012,edgar/data/1301991/0001615774-18-010784.txt,edgar/data/1301991/0001615774-18-010784,https://www.sec.gov/Archives/edgar/data/1301991/0001615774-18-010784-index.htm
572,1379006,"NANOVIRICIDES, INC.",10-K,20181012,edgar/data/1379006/0001144204-18-053665.txt,edgar/data/1379006/0001144204-18-053665,https://www.sec.gov/Archives/edgar/data/1379006/0001144204-18-053665-index.htm
705,1448558,"GROW CONDOS, INC.",10-K,20181012,edgar/data/1448558/0001445866-18-001106.txt,edgar/data/1448558/0001445866-18-001106,https://www.sec.gov/Archives/edgar/data/1448558/0001445866-18-001106-index.htm
869,1524829,Global Seed Corp,10-K,20181012,edgar/data/1524829/0001213900-18-013871.txt,edgar/data/1524829/0001213900-18-013871,https://www.sec.gov/Archives/edgar/data/1524829/0001213900-18-013871-index.htm
1864,74046,Oil-Dri Corp of America,10-K,20181012,edgar/data/74046/0000074046-18-000046.txt,edgar/data/74046/0000074046-18-000046,https://www.sec.gov/Archives/edgar/data/74046/0000074046-18-000046-index.htm
13,1005731,IDT CORP,10-K,20181015,edgar/data/1005731/0001213900-18-013916.txt,edgar/data/1005731/0001213900-18-013916,https://www.sec.gov/Archives/edgar/data/1005731/0001213900-18-013916-index.htm
99,1040721,"Banny Cosmic International Holdings, Inc",10-K,20181015,edgar/data/1040721/0001640334-18-001927.txt,edgar/data/1040721/0001640334-18-001927,https://www.sec.gov/Archives/edgar/data/1040721/0001640334-18-001927-index.htm
212,1089319,"FREESTONE RESOURCES, INC.",10-K,20181015,edgar/data/1089319/0001121781-18-000049.txt,edgar/data/1089319/0001121781-18-000049,https://www.sec.gov/Archives/edgar/data/1089319/0001121781-18-000049-index.htm
691,1300734,"SHINECO, INC.",10-K,20181015,edgar/data/1300734/0001213900-18-013917.txt,edgar/data/1300734/0001213900-18-013917,https://www.sec.gov/Archives/edgar/data/1300734/0001213900-18-013917-index.htm
696,1304730,HQDA ELDERLY LIFE NETWORK CORP.,10-K,20181015,edgar/data/1304730/0001493152-18-014474.txt,edgar/data/1304730/0001493152-18-014474,https://www.sec.gov/Archives/edgar/data/1304730/0001493152-18-014474-index.htm
762,1334933,URANIUM ENERGY CORP,10-K,20181015,edgar/data/1334933/0001279569-18-002013.txt,edgar/data/1334933/0001279569-18-002013,https://www.sec.gov/Archives/edgar/data/1334933/0001279569-18-002013-index.htm
824,1374567,"Luvu Brands, Inc.",10-K,20181015,edgar/data/1374567/0001017386-18-000279.txt,edgar/data/1374567/0001017386-18-000279,https://www.sec.gov/Archives/edgar/data/1374567/0001017386-18-000279-index.htm
831,1376793,"Cavitation Technologies, Inc.",10-K,20181015,edgar/data/1376793/0001144204-18-053809.txt,edgar/data/1376793/0001144204-18-053809,https://www.sec.gov/Archives/edgar/data/1376793/0001144204-18-053809-index.htm
900,1404079,Samson Oil & Gas LTD,10-K,20181015,edgar/data/1404079/0001144204-18-053749.txt,edgar/data/1404079/0001144204-18-053749,https://www.sec.gov/Archives/edgar/data/1404079/0001144204-18-053749-index.htm
904,1407583,Bunker Hill Mining Corp.,10-K,20181015,edgar/data/1407583/0001052918-18-000382.txt,edgar/data/1407583/0001052918-18-000382,https://www.sec.gov/Archives/edgar/data/1407583/0001052918-18-000382-index.htm
960,1422768,Almost Never Films Inc.,10-K,20181015,edgar/data/1422768/0001640334-18-001920.txt,edgar/data/1422768/0001640334-18-001920,https://www.sec.gov/Archives/edgar/data/1422768/0001640334-18-001920-index.htm
1004,1451448,"ESPORTS ENTERTAINMENT GROUP, INC.",10-K,20181015,edgar/data/1451448/0001469709-18-000172.txt,edgar/data/1451448/0001469709-18-000172,https://www.sec.gov/Archives/edgar/data/1451448/0001469709-18-000172-index.htm
1126,1505367,Apollo Acquisition Corp,10-K,20181015,edgar/data/1505367/0001078782-18-001166.txt,edgar/data/1505367/0001078782-18-001166,https://www.sec.gov/Archives/edgar/data/1505367/0001078782-18-001166-index.htm
1134,1509261,"Rezolute, Inc.",10-K,20181015,edgar/data/1509261/0001144204-18-053849.txt,edgar/data/1509261/0001144204-18-053849,https://www.sec.gov/Archives/edgar/data/1509261/0001144204-18-053849-index.htm
1259,1557340,"Optec International, Inc.",10-K,20181015,edgar/data/1557340/0001079973-18-000551.txt,edgar/data/1557340/0001079973-18-000551,https://www.sec.gov/Archives/edgar/data/1557340/0001079973-18-000551-index.htm
1309,1564709,"Truett-Hurst, Inc.",10-K,20181015,edgar/data/1564709/0001564590-18-024252.txt,edgar/data/1564709/0001564590-18-024252,https://www.sec.gov/Archives/edgar/data/1564709/0001564590-18-024252-index.htm
1318,1568969,"APPYEA, INC",10-K,20181015,edgar/data/1568969/0001640334-18-001936.txt,edgar/data/1568969/0001640334-18-001936,https://www.sec.gov/Archives/edgar/data/1568969/0001640334-18-001936-index.htm
1353,1581545,Freedom Leaf Inc.,10-K,20181015,edgar/data/1581545/0001683168-18-003066.txt,edgar/data/1581545/0001683168-18-003066,https://www.sec.gov/Archives/edgar/data/1581545/0001683168-18-003066-index.htm
1814,1713863,"Rafael Holdings, Inc.",10-K,20181015,edgar/data/1713863/0001213900-18-013948.txt,edgar/data/1713863/0001213900-18-013948,https://www.sec.gov/Archives/edgar/data/1713863/0001213900-18-013948-index.htm
2271,316253,ENZO BIOCHEM INC,10-K,20181015,edgar/data/316253/0000930413-18-003072.txt,edgar/data/316253/0000930413-18-003072,https://www.sec.gov/Archives/edgar/data/316253/0000930413-18-003072-index.htm
2366,704172,PHI GROUP INC,10-K,20181015,edgar/data/704172/0001493152-18-014467.txt,edgar/data/704172/0001493152-18-014467,https://www.sec.gov/Archives/edgar/data/704172/0001493152-18-014467-index.htm
2385,723125,MICRON TECHNOLOGY INC,10-K,20181015,edgar/data/723125/0000723125-18-000092.txt,edgar/data/723125/0000723125-18-000092,https://www.sec.gov/Archives/edgar/data/723125/0000723125-18-000092-index.htm
2471,825322,MPHASE TECHNOLOGIES INC,10-K,20181015,edgar/data/825322/0001213900-18-013909.txt,edgar/data/825322/0001213900-18-013909,https://www.sec.gov/Archives/edgar/data/825322/0001213900-18-013909-index.htm
